areaType,areaName,areaCode,date,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage
nation,England,E92000001,2021-06-24,83.099999999999994316,61
nation,England,E92000001,2021-06-23,82.599999999999994316,60.700000000000002842
nation,England,E92000001,2021-06-22,82.200000000000002842,60.399999999999998579
nation,England,E92000001,2021-06-21,81.599999999999994316,59.899999999999998579
nation,England,E92000001,2021-06-20,81.599999999999994316,59.899999999999998579
nation,England,E92000001,2021-06-19,81.200000000000002842,59.799999999999997158
nation,England,E92000001,2021-06-18,80.700000000000002842,59.299999999999997158
nation,England,E92000001,2021-06-17,80.200000000000002842,59
nation,England,E92000001,2021-06-16,79.700000000000002842,58.600000000000001421
nation,England,E92000001,2021-06-15,79.299999999999997158,58.200000000000002842
nation,England,E92000001,2021-06-14,79,57.799999999999997158
nation,England,E92000001,2021-06-13,78.700000000000002842,57.399999999999998579
nation,England,E92000001,2021-06-12,78.5,57
nation,England,E92000001,2021-06-11,77.900000000000005684,56.399999999999998579
nation,England,E92000001,2021-06-10,77.5,55.799999999999997158
nation,England,E92000001,2021-06-09,77.099999999999994316,55.299999999999997158
nation,England,E92000001,2021-06-08,76.799999999999997158,54.700000000000002842
nation,England,E92000001,2021-06-07,76.599999999999994316,54.100000000000001421
nation,England,E92000001,2021-06-06,76.400000000000005684,53.600000000000001421
nation,England,E92000001,2021-06-05,76.099999999999994316,53.100000000000001421
nation,England,E92000001,2021-06-04,75.700000000000002842,52.100000000000001421
nation,England,E92000001,2021-06-03,75.400000000000005684,51.399999999999998579
nation,England,E92000001,2021-06-02,75,50.700000000000002842
nation,England,E92000001,2021-06-01,74.700000000000002842,50
nation,England,E92000001,2021-05-31,74.599999999999994316,49.399999999999998579
nation,England,E92000001,2021-05-30,74.400000000000005684,49.100000000000001421
nation,England,E92000001,2021-05-29,74.200000000000002842,48.700000000000002842
nation,England,E92000001,2021-05-28,73.799999999999997158,47.799999999999997158
nation,England,E92000001,2021-05-27,73.400000000000005684,46.899999999999998579
nation,England,E92000001,2021-05-26,72.900000000000005684,46.100000000000001421
nation,England,E92000001,2021-05-25,72.5,45.299999999999997158
nation,England,E92000001,2021-05-24,72.099999999999994316,44.5
nation,England,E92000001,2021-05-23,71.900000000000005684,43.899999999999998579
nation,England,E92000001,2021-05-22,71.700000000000002842,43.399999999999998579
nation,England,E92000001,2021-05-21,71.299999999999997158,42.200000000000002842
nation,England,E92000001,2021-05-20,70.799999999999997158,41.399999999999998579
nation,England,E92000001,2021-05-19,70.299999999999997158,40.600000000000001421
nation,England,E92000001,2021-05-18,69.799999999999997158,39.899999999999998579
nation,England,E92000001,2021-05-17,69.400000000000005684,39.299999999999997158
nation,England,E92000001,2021-05-16,69.200000000000002842,38.799999999999997158
nation,England,E92000001,2021-05-15,69,38.399999999999998579
nation,England,E92000001,2021-05-14,68.5,37.600000000000001421
nation,England,E92000001,2021-05-13,68.099999999999994316,36.899999999999998579
nation,England,E92000001,2021-05-12,67.700000000000002842,36
nation,England,E92000001,2021-05-11,67.400000000000005684,35.100000000000001421
nation,England,E92000001,2021-05-10,67.200000000000002842,34.399999999999998579
nation,England,E92000001,2021-05-09,67,34
nation,England,E92000001,2021-05-08,66.799999999999997158,33.600000000000001421
nation,England,E92000001,2021-05-07,66.5,32.700000000000002842
nation,England,E92000001,2021-05-06,66.299999999999997158,31.699999999999999289
nation,England,E92000001,2021-05-05,66,30.800000000000000711
nation,England,E92000001,2021-05-04,65.799999999999997158,30
nation,England,E92000001,2021-05-03,65.599999999999994316,29.5
nation,England,E92000001,2021-05-02,65.400000000000005684,29.300000000000000711
nation,England,E92000001,2021-05-01,65.299999999999997158,29
nation,England,E92000001,2021-04-30,65,28.300000000000000711
nation,England,E92000001,2021-04-29,64.700000000000002842,27.399999999999998579
nation,England,E92000001,2021-04-28,64.5,26.5
nation,England,E92000001,2021-04-27,64.299999999999997158,25.699999999999999289
nation,England,E92000001,2021-04-26,64.099999999999994316,24.899999999999998579
nation,England,E92000001,2021-04-25,63.899999999999998579,24.399999999999998579
nation,England,E92000001,2021-04-24,63.799999999999997158,23.899999999999998579
nation,England,E92000001,2021-04-23,63.5,22.800000000000000711
nation,England,E92000001,2021-04-22,63.200000000000002842,21.899999999999998579
nation,England,E92000001,2021-04-21,63,21.100000000000001421
nation,England,E92000001,2021-04-20,62.799999999999997158,20.300000000000000711
nation,England,E92000001,2021-04-19,62.600000000000001421,19.699999999999999289
nation,England,E92000001,2021-04-18,62.399999999999998579,19.199999999999999289
nation,England,E92000001,2021-04-17,62.299999999999997158,18.800000000000000711
nation,England,E92000001,2021-04-16,62,17.800000000000000711
nation,England,E92000001,2021-04-15,61.799999999999997158,16.800000000000000711
nation,England,E92000001,2021-04-14,61.600000000000001421,15.900000000000000355
nation,England,E92000001,2021-04-13,61.399999999999998579,15.300000000000000711
nation,England,E92000001,2021-04-12,61.299999999999997158,14.699999999999999289
nation,England,E92000001,2021-04-11,61.200000000000002842,14.300000000000000711
nation,England,E92000001,2021-04-10,61.200000000000002842,14
nation,England,E92000001,2021-04-09,61,13
nation,England,E92000001,2021-04-08,60.899999999999998579,12.099999999999999645
nation,England,E92000001,2021-04-07,60.700000000000002842,11.099999999999999645
nation,England,E92000001,2021-04-06,60.600000000000001421,10.300000000000000711
nation,England,E92000001,2021-04-05,60.5,9.9000000000000003553
nation,England,E92000001,2021-04-04,60.399999999999998579,9.8000000000000007105
nation,England,E92000001,2021-04-03,60.399999999999998579,9.6999999999999992895
nation,England,E92000001,2021-04-02,60.200000000000002842,9.4000000000000003553
nation,England,E92000001,2021-04-01,60,8.9000000000000003553
nation,England,E92000001,2021-03-31,59.799999999999997158,8
nation,England,E92000001,2021-03-30,59.299999999999997158,7.2000000000000001776
nation,England,E92000001,2021-03-29,58.899999999999998579,6.7000000000000001776
nation,England,E92000001,2021-03-28,58.5,6.2999999999999998224
nation,England,E92000001,2021-03-27,58,6.0999999999999996447
